Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Armenia,ARM,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.203389831,2.296644333,,4.059311908,3.281867004,3.90939856,3.528096003,3.697374231,3.560024873,3.127249385,2.697714749,2.728372214,2.741996705,2.871931363,2.947613156,3.042574701,3.395579363,4.157049908,4.265646056,3.853946441,3.583766919,3.997244557,3.943378265,4.239225786,4.090349217,3.849730577,4.119886153,4.787705841,4.982543724,4.465144759,4.081745959,5.450925003
American Samoa,ASM,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,2.36954514,2.415139854,2.36369537,2.446634639,2.648242797,2.952292962,3.451382904,3.793763967,3.837273585,3.38591988,2.966035577,2.763151709,2.685620605,2.379346796,2.262802699,2.267315593,2.216612107,2.247202208,2.21568857,2.192729371,2.248956904,2.296601945,2.393265216,2.519811819,2.505233651,2.523268379,2.540429752,2.372988832,2.161814883,2.051827509,2.07590586,2.168042858,2.16874608,2.178029886,2.116598589,2.021312568,1.930440067,1.867334395,1.871121813,1.889235741,1.829841913,1.870093879,1.873964621,1.846289689,1.827410769,1.80249268,1.822330926,1.812273234,1.796688089,1.923938334,1.852928258,1.755656947,1.670963965,1.6391802,1.773057778,1.953633592,2.08852965,2.004232965,1.89568808,1.88096043,2.010656405,1.990278202,1.908335574,1.922199063
Austria,AUT,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.458185699,1.309337523,1.352071859,1.579667758,1.887300243,1.507213387,1.624405132,1.609166416,1.542674749,1.499256567,1.380130121,1.246106954,1.202286665,1.184988573,1.276882519,1.451278364,1.365196811,1.345951891,1.429212612,1.433845732,1.420246106,1.380051733,1.41299673,1.391175884,1.414158336,1.512623567,1.508758541,1.416677903,1.299181144,1.234154925,1.195660267,1.154217118,1.099214072,1.115584541,1.094453076,1.073232052,1.049682977,1.046433982,1.018072863,0.980246123,0.98031858,0.908240041,0.883527837,0.913640319,0.893480466,0.850142574,0.785813244,0.900457173,0.870705123,0.833379565,0.821232712,0.790897558,0.778464251,0.750825383,0.747780095,0.698116413,0.729737692,0.757279034,0.74502804,0.750359657,0.884127145,0.873694137,0.768528566,0.844274841
Azerbaijan,AZE,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.400225621,5.000467786,1.94658459,2.736901303,2.254230341,2.324049799,2.412355913,2.625109931,2.267862063,2.312062608,2.24331377,2.426362555,2.629481138,2.299069675,3.417759333,2.864194919,3.291211146,3.325421682,2.791004357,4.670135555,4.658618252,4.54092331,4.555013124,5.464876793,3.688527303,3.756301732,3.549293313,3.849018636,5.241526025,4.930517407,3.799536412,4.602103148
Burundi,BDI,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,0.187192118,3.943793911,0.434782609,0.445620494,1.352337005,1.382287925,1.332606884,1.414223331,1.754491378,,1.032408654,1.458670989,1.946212277,2.225082751,2.056807052,2.2236012,2.533381742,2.796373652,2.643715301,2.918803369,3.030330243,3.50702489,3.104808926,2.975400785,2.751172646,2.805413158,2.649139912,3.145245149,3.349522133,3.448712473,3.786270865,3.595637948,3.72027582,3.921111198,4.209072899,5.856884919,6.359652961,6.572272507,6.257643657,4.862402213,6.071737158,5.441678859,5.533435389,4.903266843,4.436190041,3.511718452,3.414595248,2.720890527,,,,2.527177708,2.482413115,2.297945591,2.131319915,2.243163864,2.002709903,2.149419566,2.807816811,2.185913284,2.043009763,2.598298275,3.658927591
Belgium,BEL,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,3.397347867,3.259070074,3.284752167,3.216630963,3.213471659,2.973063602,3.112586029,3.134581624,3.115090011,2.931814996,2.918640097,2.898925919,2.880760041,2.835311133,2.761416188,3.065034539,3.093369534,3.143248647,3.261522061,3.261345018,3.250195386,3.366049436,3.269944591,3.19141317,3.007902449,2.931233854,2.953772624,2.901794793,2.628748416,2.460854324,2.355440459,2.287692847,1.83233253,1.735965893,1.67714315,1.565752151,1.540102651,1.476975796,1.463919265,1.385835559,1.341210276,1.276504166,1.215712208,1.214988156,1.149272139,1.096641182,1.056123069,1.098018764,1.221914517,1.167768437,1.090488217,1.05221777,1.04175649,1.008959479,0.970959791,0.909284202,0.894706236,0.883563446,0.891358085,0.888429381,1.012484707,1.038726627,1.182396426,1.214615996
Benin,BEN,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,0.871584699,1.395287958,1.751633987,1.736842105,2.18169901,2.106508876,1.900232597,1.976252106,2.072124756,1.894736842,1.625281519,1.601042034,1.487794309,1.67752809,1.442379182,1.492907801,1.28164794,1.678787879,1.194306931,1.930460034,2.031651419,1.551371319,1.04929865,1.188970677,1.45869894,1.304931932,1.35509654,1.5695985,1.564091205,1.307896061,1.225157121,,,,,,,,,0.48538923,0.412852302,0.357971127,0.622819458,0.647223227,0.67614985,0.680970685,0.665723324,,0.66395898,,,,0.702056158,0.687239683,0.700924949,0.798485298,0.673596727,0.920613124,0.63285754,0.473313906,0.458762015,0.550883649,0.632087492,0.71120227
Burkina Faso,BFA,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,0.682017544,0.83436853,2.345703125,2.38305709,2.60515873,1.524822695,1.649484536,1.325072886,1.178481013,1.246722288,1.172239108,1.177165354,1.139853748,1.235186873,1.151908397,2.811183733,3.123828648,3.043266631,3.283146067,2.698613861,2.746691176,2.842689698,3.003303634,2.932183416,3.017167437,1.836525411,2.621893491,2.252586462,2.310812644,2.740774077,2.704892966,2.166869267,2.049651568,1.862529885,1.422884729,1.383042694,1.28708847,1.417055045,1.27636264,1.385531386,1.238046381,1.155515024,1.177934977,1.073055338,1.207005766,1.201894848,1.110321797,1.415726528,1.242912608,1.352764976,1.224785993,1.150905878,1.176028479,1.236090257,1.272341952,1.25078088,1.165333354,1.363629705,1.925384551,2.212552085,2.132018076,2.322656672,2.977486513,4.005326883
Bangladesh,BGD,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,0.656720537,0.604303492,0.844783331,1.523678975,1.569977813,1.268985181,0.934292961,0.857420859,0.915831691,1.060869685,1.270673712,1.17804196,1.054272784,1.112191676,1.168232539,1.246388097,1.290861801,1.223165026,1.214422802,1.36050315,1.429390515,1.529023664,1.566693141,1.539073594,1.571667926,1.567535198,1.584834391,1.357119181,1.288422776,1.048366463,1.002633098,0.998859774,0.97281009,0.989838837,0.997091964,0.938215292,1.028939548,1.184384017,1.217668949,1.180897234,1.113729429,1.136443272,1.208517107,1.225900499,1.127581253,1.153957491,1.244100823,1.244689509,1.1687306,1.051989764,1.022818376
Bulgaria,BGR,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.39627075,3.83344349,3.043231573,2.972633843,2.609271612,2.492617286,2.374131284,2.402934109,2.430701355,2.453059147,2.645171956,2.652455762,2.862519544,2.779676555,2.691201472,2.373711682,2.235350267,2.081761908,2.228539901,2.131863983,1.739511501,1.642461524,1.314000256,1.329818965,1.454042831,1.309602232,1.245933607,1.243845808,1.222208548,1.449294138,3.133568989,1.593461166,1.517490896,1.592286696,1.847372803
Bahrain,BHR,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,1.526179854,1.75228724,2.077922078,4.958131335,5.892751915,5.698891307,6.902581566,8.535161949,4.790336018,4.179305696,4.588158182,5.837762481,5.253253881,5.603045758,5.644661664,5.284791544,5.703750648,5.878071992,5.369855167,5.111302188,5.18323179,5.273939764,5.068487413,5.333103953,5.503621544,3.961670969,4.148081632,4.611106606,4.658832803,4.044928848,3.214381095,3.102947728,2.956990234,2.800161369,3.61053525,3.277823748,3.591497227,3.844490573,4.14139763,4.418512028,4.644111349,4.670635314,4.320737742,4.041086253,4.029861016,4.04564951,3.553882997,3.145693414,3.10846001
"Bahamas, The",BHS,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.904372905,2.41669769,1.889602808,1.544219658,1.386533469,1.236152896,1.22061206,1.376586212,1.280341444,1.136430264,1.145571921,1.087055798,1.025826887,0.988857623,0.92277227,0.852593562,0.840047357,0.807324225,0.827298283,0.742576775,0.679097727,0.808382319
Belarus,BLR,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.622498648,2.790971461,3.621608255,1.699463769,1.26069256,1.768966551,1.495098702,1.366760738,1.346984151,1.438290747,1.400245801,1.2990639,1.358222314,1.498453135,1.709412492,1.649765914,1.453492852,1.372576981,1.341383433,1.22449511,1.229218722,1.270796652,1.042327636,1.138066024,1.523280919,1.372004441,1.537994289,1.396422976,1.403258599,1.365289266,1.648693135,1.797703363
Belize,BLZ,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,0.575196525,0.799043909,0.863782257,1.158969928,1.437587169,1.534381036,1.543918919,1.559825996,,,,1.199332232,0.867929439,0.79021233,0.763108824,0.816419366,1.023677279,0.98365003,0.93555276,1.082512145,,,0.637640601,0.640861919,0.635154453,0.658829265,0.682599472,0.732853762,0.776926086,0.811211022,1.082517387,1.027406026,0.882120948,0.847261619,0.799645823,0.875994241,0.931581993,0.892029622,0.961415089,1.008474006,1.008244493,1.010694249,1.251121406,1.071704448,0.810341415,0.82192888
Bermuda,BMU,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,1.203463986,1.158699993,1.326412016,,,,,1.350152185,1.318224897,1.61221645,1.391585766,1.595541894,1.622636209,1.836654098,2.371237115,2.367156575,2.247499441,2.598970098,2.708461078,3.172399893,3.902203322,1.9818473,1.499320703,2.170841736,2.013992525,2.345549228,2.377263176,2.02098132,2.1562887,2.815883319,2.688324857,2.506118833,1.91634981,2.250301234,2.096162258,1.986807543,2.273610301,2.69111086,2.133287095,2.062971513,2.320446744,1.990333715,2.145483398,1.896503305,1.717004423,1.466226984,1.489047584,2.193951609,1.761360756,2.785007269,1.684122657,1.845606439,1.841240314,1.896915045,1.759435915,1.530467849,1.536427353,1.496902607,1.451270927,1.392047445,1.325799438,0.973250888,1.386121647
Brazil,BRA,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,2.679134726,2.364066194,2.398683307,2.260839182,2.014498091,3.352092157,3.021981632,2.856972008,2.649740158,2.615590006,2.887289557,2.619046859,2.43581199,2.154651306,1.941353411,1.972143796,2.002753365,1.687726478,1.59967155,1.521931686,1.138434421,1.143148768,1.303534361,1.254580323,1.199541045,1.429523122,1.220388728,1.743994031,2.118072205,2.68625,2.363841025,1.963333333,1.521528861,1.927922815,2.016007789,1.86213698,1.6548435,1.577688316,1.66229192,1.645474667,1.730726147,1.951882445,1.895771199,1.503477636,1.461268409,1.524013463,1.481084956,1.4662921,1.441924088,1.538625676,1.539406981,1.411851159,1.378656465,1.329446084,1.330244423,1.365517154,1.347975413,1.414021668,1.469677724,1.382797246,1.326660269,1.163682111,1.06984584,1.07876906
Barbados,BRB,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,BRN,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,4.995853375,3.82006286,3.282306536,2.032336977,3.533424776,4.755268621,4.137172329,4.595714803,6.115366322,2.888872044,3.556181907,3.9631801,3.046320117,2.574084402,2.88778814,4.670729808,3.792514955,6.6299771,6.21043627,6.437735269,6.404350125,6.245144781,5.740231735,5.982471359,5.477265965,6.249493831,7.183964552,7.529843893,6.130418352,4.06920549,3.886397608,3.870782758,3.711419618,2.532730088,2.349427638,2.303963195,2.380152244,2.261792369,2.941072032,2.850487901,2.24224142,2.159034489,2.277507595,3.086860958,3.279290461,3.539384639,2.86512851,2.636612485,3.078587249,3.634291769,3.236367482,2.611930025,2.969107091
Bhutan,BTN,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,BWA,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,1.356572569,2.874909003,3.501499383,3.207620529,2.978298115,2.69474386,2.326337698,2.437270832,2.184731489,2.663595803,4.794414575,4.899677023,3.56901008,4.445158035,4.603469927,4.482809049,4.933491973,4.008120396,3.506479719,2.899521498,3.197204627,3.779398844,3.092073755,3.191242951,3.831223033,4.11020649,4.007366589,3.505874041,2.858004185,2.754546095,2.90001469,3.097620399,3.262820738,2.75907988,2.404430032,2.343772126,2.14717105,2.211997144,2.825194499,3.410662583,3.248579195,2.924759445,3.081222446,3.334787687,3.045569324,2.382125372,2.529822503
Central African Republic,CAF,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.568069342,1.642125317,1.497087845,1.255882652,1.16678192,1.210192071,,,,,,1.08695557,1.263854401,1.153088004,1.089759933,,1.089077245,1.549880994,1.747970741,2.409960175,2.048401248,1.702846531,2.83390827,2.029654395,1.575319921,1.471632517,1.342701858,1.340054677,1.79005409,1.859142002,2.150302015,1.708687201,2.285433
Canada,CAN,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,4.18525654,4.128312243,3.999216389,3.620650112,3.402062837,2.930260659,2.683282422,2.74792677,2.54364188,2.27378467,2.188979696,2.131485639,2.011818438,1.832601818,1.783813085,1.863541853,1.765927978,1.8057636,1.848887401,1.711245918,1.764448615,1.709915638,1.954343585,2.081196249,2.117188855,2.097376234,2.109197118,2.062576371,1.986767119,1.934614309,1.958793742,1.895444339,1.8616877,1.821753504,1.696680257,1.554090071,1.403752581,1.246243202,1.256293902,1.241703064,1.114349802,1.133356283,1.116869147,1.111937307,1.104189391,1.107105424,1.122524729,1.18579023,1.245518367,1.377555631,1.194338338,1.193291895,1.118404598,1.0023672,0.989925299,1.152709374,1.164161567,1.351896465,1.317678106,1.284512244,1.400835686,1.267294465,1.195777758,1.293001454
Central Europe and the Baltics,CEB,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,4.030075188,3.741685144,3.273657289,3.006993007,3.20784139,3.335405013,3.006239365,2.95532646,3.239637923,3.239044409,,,,,,,,3.598332454,3.947421532,4.052839734,,2.740756476,2.818708231,2.657623039,2.67656447,2.364326862,2.242333449,2.249376587,2.116427126,1.953934101,1.860821519,1.891927356,1.894040315,1.859699924,1.752334758,1.773734521,1.694344876,1.651735015,1.529641963,1.521432263,1.471967681,1.40295072,1.391344965,1.378488329,1.42354793,1.535046911,1.48594347,1.535610288,1.628852767,1.75652472,1.930101855,1.847861041,1.890551114,2.545813296
Switzerland,CHE,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,2.341450361,2.469077069,2.567567568,2.516336682,2.535855697,2.467959251,2.530793359,2.382373845,2.176517572,2.197923705,2.103347488,2.052526822,1.968126125,1.861448562,1.875974486,1.900752738,2.162581009,2.022086563,1.967364431,2.039799426,1.678606546,1.662802221,1.728194511,1.748805589,1.701248303,1.824971868,1.661021951,1.561866055,1.564805264,1.524165367,1.572147188,1.537824886,1.523709272,1.366964345,1.332284094,1.355810883,1.283756802,1.220864103,1.185203901,1.086212205,1.029280117,0.99188008,0.95638835,0.926630419,0.888925075,0.833064037,0.753808478,0.718232324,0.722484412,0.731793377,0.687220166,0.694782258,0.66900171,0.712636242,0.634898338,0.651341083,0.664750475,0.665684557,0.65287657,0.696324325,0.772558973,0.674464698,0.690463765,0.702718005
Channel Islands,CHI,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,3.118405627,3.527447297,3.043709078,2.865395725,2.635186596,2.885712733,2.735920852,2.713632634,2.527068178,2.260899987,4.450450634,6.264815442,6.625414195,6.283820901,7.109561164,6.742536661,6.085050825,6.915244814,6.728122321,6.332556333,6.48209287,7.022118889,8.877267738,7.575222602,7.605406176,6.900608611,6.288002199,5.638071075,4.13999608,3.590029509,3.401654859,2.849842767,2.628510469,2.706922937,2.597544983,2.562064629,2.449320898,2.498201924,2.589837226,2.713631594,2.688615886,2.647049152,2.531542942,2.70297151,2.712290407,2.534762993,2.506082143,2.330980634,2.583652259,2.276507868,2.254240915,2.263612772,2.045880251,1.994622472,1.967106877,1.909623355,1.924158448,1.94059253,1.877613957,1.862616605,2.0637755,1.641876189,1.548322052,1.632888929
China,CHN,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.447101315,2.454016116,2.311243412,2.449542068,1.928066874,1.693479599,1.686233887,1.65272667,1.632650673,1.655080691,1.871465914,1.835759685,1.983086244,2.059364653,1.996288936,1.938508233,1.871858023,1.869591636,1.750164585,1.716042546,1.893523796,1.733519862,1.659082516,1.700942672,1.714340923,1.738409288,1.776771069,1.76888659,1.711242644,1.673578209,1.682911012,1.756699471,1.605259718,1.623146278,1.665339145
Cote d'Ivoire,CIV,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,1.275534442,0.998988878,1.143929912,1.319699499,1.263565891,1.312658687,1.160490046,1.148796499,1.181007472,1.500340987,1.695633743,1.130342635,1.339648173,1.178430198,1.118886112,0.794768612,1.098093102,1.123772304,1.164286711,1.091036048,1.142167706,1.115046625,1.025590419,0.996969504,1.05352867,1.217098753,1.249140612,1.330374658,0.964774733,0.994003863,1.017086803,0.973500965,0.731597908,,0.611814464,0.577204483,,,,,,1.006751824,1.096073443,1.058065308,1.086579561,1.150833029,1.101704681,1.251735726,1.127105101,1.007057862,1.100663875,0.99501912,1.06778466,1.243927247,1.257379624,0.983197802,1.048368231,0.915612641,0.989482627,0.910633113,0.888886346,0.886138695
Cameroon,CMR,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,1.872127872,1.842670401,1.762854734,1.760674157,1.691940723,1.727593933,1.762325015,1.715850108,1.66511724,1.655363748,1.555817726,1.818915609,1.990519146,1.890684084,1.740219092,1.339835729,1.217823458,1.250025497,1.284796155,1.333689155,1.474566613,1.514551699,1.532605614,1.326124551,1.310340092,1.251644839,1.224837883,1.301241746,1.396509438,1.443852391,1.324748865,1.290360035,1.338506756,1.383806998,1.401603832,1.143900624,1.229793943,1.241592993,1.255590741,1.233834189,1.288375177,1.135888892,1.175348576,1.165041143,1.104979623,1.098898643,1.14642435,1.138373822,1.076009818,1.064578378,0.964407323,0.978117031,0.942511872,0.933338169
"Congo, Dem. Rep.",COD,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,3.91E-05,,4.31E-05,,4.22E-05,4.17E-05,5.52E-05,4.86E-05,4.03E-05,3.49E-05,5.27E-05,4.53E-05,3.36E-05,3.49E-05,3.27E-05,2.97E-05,,,,,,,,,,,,,,5.226085685,,,1.546801091,1.410851124,0.428454161,1.158150664,0.220260773,,,0.880645711,1.336604385,1.380795458,1.419205358,1.226124287,0.808542544,0.656239765,0.851731339,0.92410908,1.134550276,1.146177977,0.95024714,1.295639749,1.066108209,0.770467136,0.623912515,0.700795464,0.743310282,0.542970229,0.578894367,1.164396902
"Congo, Rep.",COG,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,4.860402685,4.600243013,3.52967033,4.220272904,4.240875912,4.497493734,4.73183391,4.953219593,4.3197176,4.393713163,3.365982242,3.187096179,3.345045678,,2.253103808,2.575195715,,4.374167391,,,,,3.829288608,3.644869108,,,,,,,,1.792224541,2.123352384,2.432293399,2.440179903,1.518137941,1.569342919,1.916288944,1.79027941,,1.662590448,,,2.044475519,3.940357267,,4.594806143,3.178134693,1.97928115,2.146276579,2.601187266,2.340348906,1.907984889,2.00045624
